Strategy,Sharpe,Sortino,Volatility,CAGR,Max Drawdown,Hit Ratio,Trades,Avg Profit/Trade,Ticker,Z_threshold,MOM_threshold,Transaction_cost
Combined,0.37,0.24,0.4,0.07,0.81,0.14,13,-0.0049,SNDL,0.25,0.005,0.0005
Buy & Hold,-0.02,-0.04,1.25,-0.51,1.52,0.42,-,-,SNDL,0.25,0.005,0.0005
Mean Reversion,-0.54,-0.61,1.29,-0.82,1.18,0.43,4,-0.0239,MARA,0.25,0.005,0.0005
Momentum,0.66,0.99,1.29,0.05,34.49,0.44,10,-0.0151,MARA,0.25,0.005,0.0005
Combined,0.09,0.07,0.69,-0.16,3.85,0.14,10,-0.0168,MARA,0.25,0.005,0.0005
Buy & Hold,0.93,1.88,1.37,0.5,47.99,0.45,-,-,MARA,0.25,0.005,0.0005
Mean Reversion,-0.43,-0.39,0.74,-0.56,2.2,0.41,13,0.0092,LUMN,0.25,0.005,0.0005
Momentum,0.5,0.78,0.74,0.13,1.84,0.42,17,-0.0025,LUMN,0.25,0.005,0.0005
Combined,0.17,0.06,0.08,0.01,0.24,0.03,12,0.0012,LUMN,0.25,0.005,0.0005
Buy & Hold,0.18,0.28,0.75,-0.12,1.13,0.47,-,-,LUMN,0.25,0.005,0.0005
Mean Reversion,0.0,0.0,0.67,-0.2,1.65,0.41,6,-0.0522,OPK,0.25,0.005,0.0005
Momentum,-0.43,-0.51,0.67,-0.41,1.25,0.4,20,0.0086,OPK,0.25,0.005,0.0005
Combined,-0.65,-0.32,0.23,-0.17,0.89,0.08,18,-0.0049,OPK,0.25,0.005,0.0005
Buy & Hold,0.17,0.24,0.7,-0.13,1.56,0.46,-,-,OPK,0.25,0.005,0.0005
Mean Reversion,-0.02,-0.03,0.48,-0.12,1.69,0.41,9,-0.0099,FSLR,0.25,0.005,0.0005
Momentum,0.06,0.09,0.49,-0.08,0.91,0.42,19,0.0026,FSLR,0.25,0.005,0.0005
Combined,0.11,0.06,0.2,0.0,0.5,0.08,17,0.0066,FSLR,0.25,0.005,0.0005
Buy & Hold,0.72,1.14,0.51,0.27,2.93,0.51,-,-,FSLR,0.25,0.005,0.0005
Mean Reversion,-0.3,-0.42,0.49,-0.23,1.42,0.4,6,0.0133,ALB,0.25,0.005,0.0005
Momentum,0.13,0.17,0.49,-0.06,2.21,0.44,17,-0.0006,ALB,0.25,0.005,0.0005
Combined,-0.24,-0.11,0.17,-0.05,0.56,0.05,16,-0.0034,ALB,0.25,0.005,0.0005
Buy & Hold,0.31,0.44,0.51,0.03,3.38,0.51,-,-,ALB,0.25,0.005,0.0005
Mean Reversion,-0.1,-0.14,0.69,-0.27,1.64,0.41,6,-0.0055,ENPH,0.25,0.005,0.0005
Momentum,0.48,0.61,0.7,0.09,2.43,0.45,16,0.0162,ENPH,0.25,0.005,0.0005
Combined,0.4,0.28,0.33,0.08,0.73,0.1,18,0.0141,ENPH,0.25,0.005,0.0005
Buy & Hold,0.96,1.44,0.75,0.56,56.2,0.53,-,-,ENPH,0.25,0.005,0.0005
Mean Reversion,-0.49,-0.72,0.6,-0.38,0.99,0.41,5,0.0123,CHWY,0.25,0.005,0.0005
Momentum,0.45,0.58,0.6,0.09,2.88,0.44,9,0.0002,CHWY,0.25,0.005,0.0005
Combined,-0.14,-0.07,0.15,-0.03,0.31,0.03,6,0.0029,CHWY,0.25,0.005,0.0005
Buy & Hold,0.31,0.53,0.65,-0.0,2.96,0.49,-,-,CHWY,0.25,0.005,0.0005
Mean Reversion,-0.43,-0.61,0.8,-0.49,0.97,0.39,5,-0.0592,PTON,0.25,0.005,0.0005
Momentum,0.72,0.95,0.81,0.29,4.84,0.45,7,0.0012,PTON,0.25,0.005,0.0005
Combined,0.41,0.23,0.24,0.07,0.5,0.05,8,-0.009,PTON,0.25,0.005,0.0005
Buy & Hold,0.2,0.31,0.86,-0.18,6.39,0.49,-,-,PTON,0.25,0.005,0.0005
Mean Reversion,0.3,0.41,0.66,-0.02,4.24,0.43,10,0.0191,ROKU,0.25,0.005,0.0005
Momentum,-0.0,-0.0,0.66,-0.2,2.19,0.43,19,-0.0108,ROKU,0.25,0.005,0.0005
Combined,0.41,0.22,0.21,0.07,0.75,0.06,23,-0.0028,ROKU,0.25,0.005,0.0005
Buy & Hold,0.55,0.84,0.73,0.15,13.55,0.51,-,-,ROKU,0.25,0.005,0.0005
Mean Reversion,0.52,0.71,0.41,0.14,0.55,0.42,11,-0.0144,LVS,0.25,0.005,0.0005
Momentum,-0.25,-0.31,0.41,-0.17,1.07,0.45,19,0.0012,LVS,0.25,0.005,0.0005
Combined,0.46,0.22,0.12,0.05,0.3,0.06,22,-0.0025,LVS,0.25,0.005,0.0005
Buy & Hold,0.22,0.33,0.43,0.0,0.84,0.49,-,-,LVS,0.25,0.005,0.0005
Mean Reversion,0.18,0.24,0.69,-0.11,1.34,0.38,5,0.0033,U,0.25,0.005,0.0005
Momentum,-0.07,-0.09,0.7,-0.26,1.82,0.42,12,-0.0008,U,0.25,0.005,0.0005
Combined,0.21,0.1,0.27,0.02,0.54,0.06,14,-0.0097,U,0.25,0.005,0.0005
Buy & Hold,0.04,0.06,0.76,-0.23,2.74,0.48,-,-,U,0.25,0.005,0.0005
